Subsidiary ID,SF Account ID,Netsuite Product Code,netsuiteId,Quantity,Price,Date
6,0011p00001xFTjeAAG,281,294,802,1.22,01/11/2022
6,0011p00001xFTjeAAG,3780,294,452,0.33,01/11/2022
15,0010800002mqJ0QAAU,281,,123,0.28,01/11/2022
15,0010800002mqJ0QAAU,279,,123,0.65,01/11/2022
15,0010800002mqJ0QAAU,3653,,123,0.2,01/11/2022
10,0010800002pdbJVAAY,281,,7,5.0,01/11/2022
10,0010800002pdbJVAAY,279,,7,20.0,01/11/2022
9,0012400000JnbMsAAJ,282,,169,0.39,01/11/2022
9,0012400000JnbMsAAJ,279,,2627,1.13,01/11/2022
5,0011p00002UpwV7AAJ,279,,502,0.6,01/11/2022
6,0010800002sOzYkAAK,279,,1,1.05,01/11/2022
5,0011p00002jEoKuAAK,281,,191,0.42,01/11/2022
5,0011p00002jEoKuAAK,279,,199,0.9,01/11/2022
5,0011p00002eoHfPAAU,279,,851,1.0,01/11/2022
9,0012400000ajGbTAAU,282,,21,0.93,01/11/2022
9,0012400000ajGbTAAU,279,,20,1.36,01/11/2022
5,0011p00001jjokLAAQ,278,,28,3.53,01/11/2022
6,0011p00002kvCPZAA2,279,,1,1.5,01/11/2022
9,0011p00001pKzs7AAC,282,,18,0.69,01/11/2022
9,0011p00001pKzs7AAC,281,,1416,0.43,01/11/2022
9,0011p00001pKzs7AAC,279,,1436,0.88,01/11/2022
15,0010800002oOodkAAC,279,,14,1.2,01/11/2022
15,0010800002oOodkAAC,281,,14,0.6,01/11/2022
15,0011p00002cMhc9AAC,279,,3,1.5,01/11/2022
15,0011p00002cMhc9AAC,282,,3,1.5,01/11/2022
15,00108000030C3ybAAC,279,,124,0.7,01/11/2022
15,00108000030C3ybAAC,1889,,125,0.25,01/11/2022
15,00108000030C3ybAAC,282,,124,1.7,01/11/2022
15,0011p00002dG0l6AAC,282,,7,0.45,01/11/2022
15,0011p00002dG0l6AAC,279,,7,0.61,01/11/2022
5,0011p00002eoHezAAE,279,,2,1.0,01/11/2022
5,0011p00001uOjfsAAC,279,,350,0.64,01/11/2022
5,0011p00001uOjfsAAC,282,,350,0.45,01/11/2022
5,0011p00001uOjfsAAC,281,,3,0.4,01/11/2022
5,0011p00001dylEJAAY,279,,22,0.75,01/11/2022
5,0011p00001dylEJAAY,281,,22,0.45,01/11/2022
5,0011p00002YFB2pAAH,279,,47,1.31,01/11/2022
5,0011p00002YFB2pAAH,282,,32,0.92,01/11/2022
5,0010800002wbj4EAAQ,279,,15,1.5,01/11/2022
15,0011p00002R6EWyAAN,279,,17,0.84,01/11/2022
15,0011p00002R6EWyAAN,281,,17,0.52,01/11/2022
5,0012400000KbBV4AAN,279,,30,1.28,01/11/2022
5,0012400000KbBV4AAN,282,,28,0.9,01/11/2022
5,0012400000KbBV4AAN,281,,2,0.69,01/11/2022
5,0011p000029NCgoAAG,279,,20,1.4,01/11/2022
5,0011p000029NCgoAAG,281,,5,0.85,01/11/2022
5,0012400000cD49dAAC,281,,2793,0.2,01/11/2022
5,0012400000cD49dAAC,279,,4508,0.47,01/11/2022
15,0010800002lZ9JvAAK,291,,3,0.3,01/11/2022
15,0010800002lZ9JvAAK,282,,3,1.2,01/11/2022
15,0010800002lZ9JvAAK,279,,3,1.7,01/11/2022
5,0011p00002hCltQAAS,279,,108,1.31,01/11/2022
5,00108000039ghBwAAI,281,,1,0.8,01/11/2022
5,00108000039ghBwAAI,279,,1,1.6,01/11/2022
15,0011p00002RBn5nAAD,279,,115,0.55,01/11/2022
15,0011p00002eni4RAAQ,279,,2,0.85,01/11/2022
15,0011p00002eni4RAAQ,281,,2,0.48,01/11/2022
5,0011p00001uOfHQAA0,1889,294,319,0.31,01/11/2022
5,0011p00001uOfHQAA0,1889,1880,319,0.31,01/11/2022
9,0010800002wcjlDAAQ,3653,,58,0.45,01/11/2022
5,0011p00002ki4Z8AAI,281,,3277,0.12,01/11/2022
5,0011p00002ki4Z8AAI,278,,3273,3.53,01/11/2022
5,0011p00002aBC60AAG,281,,993,1.22,01/11/2022
5,0011p00002aBC60AAG,278,,987,3.53,01/11/2022
15,0010800002pdTFzAAM,281,,6,0.7,01/11/2022
15,0010800002pdTFzAAM,282,,45,1.0,01/11/2022
15,0010800002pdTFzAAM,279,,59,1.1,01/11/2022
15,0010800002pdTFzAAM,291,,2,0.54,01/11/2022
5,0011p00001UfhNPAAZ,279,,2,1.5,01/11/2022
5,0011p00001SGDYCAA5,279,,2482,0.63,01/11/2022
5,0011p00001SGDYCAA5,281,,2416,0.29,01/11/2022
5,0012400000bZ7sEAAS,281,,150,0.49,01/11/2022
5,0012400000bZ7sEAAS,3012,,15,0.41,01/11/2022
5,0012400000bZ7sEAAS,282,,151,0.55,01/11/2022
5,0012400000bZ7sEAAS,279,,335,0.79,01/11/2022
5,00108000033Im0fAAC,279,,49,1.08,01/11/2022
5,00108000033Im0fAAC,281,,48,0.55,01/11/2022
5,00108000033JErdAAG,282,,2,1.2,01/11/2022
5,00108000033JErdAAG,279,,2,1.6,01/11/2022
15,0011p00002JoAOVAA3,279,,37,0.66,01/11/2022
15,0011p00002JoAOVAA3,281,,31,0.38,01/11/2022
6,0010800002yr2SlAAI,282,,6,0.6,01/11/2022
6,0010800002yr2SlAAI,279,,11,0.87,01/11/2022
5,00108000033qrbFAAQ,279,,7,1.4,01/11/2022
